date,High transformation,High preparation,High advocacy,Low advocacy
2021-07-30,0.5459979560811375,-0.06323780458033251,-0.07832041126291078,0.20562979226273265
2021-08-31,0.5963856849244276,-0.030188700034281757,-0.07103296201257014,0.25684445121018024
2021-09-30,0.5513246787719087,-0.031761320748296684,-0.06444055064993781,0.23366576012342516
2021-10-29,0.5258634396312275,-0.0520251029363305,-0.063412711911649,0.19223342568516608
2021-11-30,0.4659866579436521,-0.062177392221844666,-0.07202995182587092,0.15569466030193582
2021-12-31,0.5343016041789452,-0.051949061311064956,-0.05742677545268632,0.17797270329021
2022-01-31,0.48516411290292616,-0.10736406573974461,-0.1112589090932925,0.12238622782282477
2022-02-28,0.4791430016344893,-0.020748342349258986,-0.03671504334098563,0.19815058646522415
2022-03-31,0.42392752667495626,-0.07580503433094099,-0.050406651510057576,0.15335345966423786
2022-04-29,0.4930644943501605,-0.05297376542325849,-0.11606592723875453,0.19817413406295598
2022-05-31,0.4600112532829558,-0.05819106676504071,-0.09802845800666626,0.16624865829742363
2022-06-30,0.3730961620419336,-0.09148222275641868,-0.04845644103644542,0.002114477993773456
2022-07-29,0.41853492618678817,-0.0694354470364816,-0.04372501250713334,0.05606488070978563
2022-08-31,0.4307014777135433,-0.03246331946989896,-0.02964068360692021,0.10503959736724282
2022-09-30,0.40771756361361605,0.0031759060220495072,0.0565530820415831,0.07837267728933263
2022-10-31,0.41846281348464043,-0.021255956346322352,0.0022585020710892967,0.09174500391014574
2022-11-30,0.41310356786080993,-0.030809048657747987,0.003433162544844895,0.07772348316016923
2022-12-30,0.37081055443525746,-0.0007908075342378806,0.0328557494184438,0.09161897425777187
2023-01-31,0.4097571203541052,0.013731444049979863,0.06201925053247195,0.10434250783570376
2023-02-28,0.4094151692761989,0.061139880397666685,0.08170134624155127,0.12690873101429495
2023-03-31,0.39497893065357814,0.0518917452510993,0.08437232028061031,0.13142968191594695
2023-04-28,0.39586810594189714,0.04547438135475909,0.07095512999335886,0.10512308302185289
2023-05-31,0.35424847941758464,0.036725071027168404,0.05444539374052334,0.09872352333523945
2023-06-30,0.38202747366600665,0.1472168126596443,0.10925320191425361,0.21182688893661206
2023-07-31,0.24270280131934874,0.03891029293131282,0.06978160905929526,0.06027817772703081
2023-08-31,0.2660858679541138,0.036914788569442025,0.07116949124200556,0.09950027186482768
2023-09-29,0.20987536893840214,-0.024648206472685286,0.06801198384376339,0.08429900727279473
2023-10-31,0.16073030385338297,0.03333528620144485,0.1520062840436971,0.05525416990786691
2023-11-30,0.15896872806466297,0.014581941331354153,0.13348591048827718,0.05937780545273674
2023-12-29,0.2117752430685769,0.05892580402264502,0.1373520974500323,0.09503654621889085
2024-01-31,0.1023372129078843,-0.05192514057573125,0.045877448476834615,-0.011309923917605769
2024-02-29,0.0860376364796114,-0.05110306889807151,0.018659461270904842,-0.0014866528521716438
2024-03-28,0.1152484808261531,-0.06378940586362034,0.03428843969605819,0.032018214363174924
2024-04-30,0.1499462447170052,-0.010632431554926713,0.04389051622435641,0.12240370576917897
2024-05-31,0.18156446296007844,0.10046008356548902,0.14228298293850838,0.19071578328423994
2024-06-28,0.16462479697274812,0.08602437702915566,0.15096091213980223,0.18284199539672086
2024-07-31,0.1521818952734767,0.11894386241695754,0.14996250036993608,0.1810892598240601
2024-08-30,0.1433737695476533,0.10829380882765005,0.14712266204015134,0.16914657725964222
2024-09-30,0.19121166669375805,0.12500722342066373,0.157575705182107,0.20230387343541434
2024-10-31,0.23052731989503594,0.1656145619081566,0.20230909366077693,0.22147872054603096
2024-11-29,0.19474720392297196,0.13085903588572495,0.2189517911784521,0.18555860283495557
2024-12-31,0.12939492462549218,0.07367972132641376,0.2159584514370585,0.13347851625123397
