date,Market,High transformation,High preparation,High advocacy,Low advocacy
2018-11-30,1.320583310817078,1.5085330692961998,1.2521487830519547,1.3607209174095862,1.3516777265191278
2018-12-31,1.1973728879178447,1.3573203269368848,1.1432475239582085,1.2316766350549082,1.223866829163176
2019-01-31,1.302741702054615,1.4946097147579407,1.2523574630116785,1.3420131853908668,1.3459409691538482
2019-02-28,1.349249580817965,1.5570149240920665,1.3057581927763817,1.3804561868688003,1.416043471773914
2019-03-29,1.36463102603929,1.5539129873197224,1.3132651969474236,1.3814157430498397,1.4131070855790013
2019-04-30,1.4207173612095048,1.6112656526048619,1.3484925549526838,1.4610642028156924,1.4578925518062718
2019-05-31,1.3268079436335565,1.5055746003398316,1.2385772260834578,1.3387400121152444,1.3666543714392434
2019-06-28,1.4219400731920826,1.6176907551154271,1.3252839967211154,1.4707455721599072,1.4666945658187962
2019-07-31,1.4398565181143028,1.6528913189162144,1.356820138224659,1.5002082514961372,1.49803991450528
2019-08-30,1.406451846894051,1.6343323372092822,1.3180524710076609,1.4283788299345637,1.4538496942526362
2019-09-30,1.43036152829125,1.6899767290224763,1.3653939721407882,1.4679140649597198,1.5180355618290995
2019-10-31,1.4586826865514169,1.7199372352040836,1.3650768290606998,1.4793942030034102,1.533156988927097
2019-11-29,1.5158630478642325,1.7755625004806268,1.4087722426716462,1.5304270095759263,1.5751217117418184
2019-12-31,1.5602778351666546,1.8215137346963468,1.4613061123332816,1.579139206933491,1.632950516343893
2020-01-31,1.5570012517128047,1.8082444587349344,1.4082367770576474,1.5178420828577956,1.5958079309604951
2020-02-28,1.4307284501988962,1.6752312244629124,1.256739969443941,1.3552886969103608,1.440453963985016
2020-03-31,1.2308556857061104,1.4231577063451697,1.0547115048615763,1.0903467637391369,1.2415153128352598
2020-04-30,1.394928748610735,1.5866066485448138,1.2099036635428815,1.2427465995727347,1.3795215766192979
2020-05-29,1.471091858284881,1.7024102687551164,1.2828551127455805,1.3179870337046349,1.4403449105768513
2020-06-30,1.5069864996270321,1.755064809645284,1.2813037950689374,1.319564634826177,1.4758412397761864
2020-07-31,1.5931861274056982,1.8427141973191146,1.347973211391124,1.3956412765649624,1.5353916552168727
2020-08-31,1.7118784938974227,1.919620401167706,1.405719508631471,1.4835067344679138,1.6102799231763203
2020-09-30,1.6493949288701668,1.8915126799455733,1.3784532159004448,1.4504209682678844,1.576429615838989
2020-10-30,1.6147576353638933,1.918457883266569,1.3737618009636594,1.444576204005336,1.5798511755426392
2020-11-30,1.8172482428385255,2.1959517385704026,1.5834745715921539,1.6893578131472309,1.7956513125256424
2020-12-31,1.9010233868333815,2.293525773031865,1.6395575606170725,1.788327055356055,1.849492370073537
2021-01-29,1.8953203166728814,2.2653222066703522,1.6183101605970278,1.7678624211539156,1.8303086026189255
2021-02-26,1.9557810347747464,2.3946629835037787,1.710381659192415,1.891471898227666,1.938599715282358
2021-03-31,2.0246245271988172,2.5603060185679096,1.83408369988865,1.989872317233251,2.0864143052509285
2021-04-30,2.1284877654441163,2.697555293340883,1.9316896386800957,2.087274493454588,2.1919221094991137
2021-05-28,2.1431743310256803,2.7362656936838725,1.9888391095348816,2.13109395324064,2.2213238716261734
2021-06-30,2.1926816580723734,2.715613471422619,1.957780269975131,2.105463841579571,2.212830585158777
2021-07-30,2.2196516424666637,2.733518800187222,1.9668592627623154,2.0959254047950027,2.2226635332619553
2021-08-31,2.282023853619977,2.8390395210096067,2.026871417582406,2.120430731423378,2.2987312435668565
2021-09-30,2.184353232685042,2.7163980947037105,1.9244373133949417,2.0464541619579397,2.1955779315971835
2021-10-29,2.330049593305134,2.8224797139114686,2.0130012348784736,2.17714404361643,2.2629353597376283
2021-11-30,2.287642690706981,2.7409888793665362,1.9513708061800625,2.092902693560625,2.1965204944876393
2021-12-31,2.3677101848817252,2.902849516186198,2.0680922649148994,2.205808049676166,2.3119825095561715
2022-01-31,2.231803620269514,2.7825226448534224,1.9698533858110276,2.107015449636069,2.223946568849566
2022-02-28,2.182257579899531,2.7433467656900627,1.96617429205117,2.1400045806764845,2.2123020130818536
2022-03-31,2.2538356285202354,2.8285583819167908,2.006783745738782,2.198371800363307,2.276380643343335
2022-04-29,2.048961969887746,2.645452491354241,1.891194091684214,2.015683133678459,2.1348265626646903
2022-05-31,2.047117904114847,2.6898498875743626,1.9397302075085234,2.0555186412377844,2.1852929825484466
2022-06-30,1.8751600001692,2.4294958142594596,1.7472311019487765,1.8534975327623413,1.9437104362020754
2022-07-29,2.049924912184969,2.669144681260072,1.9221055531837339,2.03845254649145,2.134719785640156
2022-08-31,1.9765376003287474,2.6006710713584975,1.8619173333788013,1.9983765373977989,2.092174752287466
2022-09-30,1.7964750249387986,2.3610899934466265,1.6924189247463057,1.8398163791594095,1.9044342047370066
2022-10-31,1.9436063294812864,2.6187277272133165,1.846201253359195,2.0379600830827984,2.127243795334178
2022-11-30,2.04292461291778,2.777247566358193,1.9678154474700504,2.1745662234703524,2.251320619201045
2022-12-30,1.9209620135265884,2.6367097051760284,1.8839493904932318,2.054766085218643,2.143342916357081
2023-01-31,2.057734508889682,2.8640034149246985,2.022283352891841,2.224358642265946,2.30072748828719
2023-02-28,2.0095835213816633,2.79356184199991,1.9670460024654106,2.1550627026234266,2.2438541563881857
2023-03-31,2.062837484698277,2.7742775265405646,1.9531101915420308,2.1295092505045776,2.2465280394643328
2023-04-28,2.0842909945391392,2.7800279365682092,1.9750009114577023,2.118934964307723,2.2590127595189196
2023-05-31,2.0897101511249407,2.724241806302888,1.90248812028818,2.0376461446421694,2.202977150459678
2023-06-30,2.233482209522337,2.9818734821248505,2.076470091027357,2.201753993749058,2.4120908432514727
2023-07-31,2.313887569065141,3.076612448070014,2.1726101351688576,2.3148052973694426,2.5123113230603615
2023-08-31,2.2678412064407447,2.9910240340035497,2.1185643427011676,2.231817567381143,2.460128053813285
2023-09-29,2.162159806220606,2.8615879436039555,2.0123582061113274,2.1349987881667554,2.3419838771762067
2023-10-31,2.100322035762697,2.7355948296913413,1.9432176008994604,2.0589313910256206,2.255821928561985
2023-11-30,2.2946018240707464,2.9868574192669866,2.106836027631209,2.256459323345735,2.4428716593801862
2023-12-29,2.415756800381682,3.1976066513553665,2.248986641586776,2.4359959581713633,2.6078113406807635
2024-01-31,2.4420885495058418,3.175106361051484,2.22610216499297,2.401199156336441,2.5812412471795376
2024-02-29,2.5702981983548985,3.4057144789757112,2.343975236789273,2.4664774201506714,2.754896465098448
2024-03-28,2.654603979260939,3.5957041645834376,2.4501038923613248,2.624311390061004,2.908141896380632
2024-04-30,2.5436415329278317,3.4262520785416766,2.341078470354319,2.5025059035898214,2.790898807397277
2024-05-31,2.6626839566688543,3.4905069489016363,2.4540628051782027,2.580871922200436,2.8938759900637634
2024-06-28,2.7383041810382496,3.4442239228560982,2.4127300523178725,2.579912552778745,2.865758259119384
2024-07-31,2.7911534517322876,3.6104367806450557,2.554114932811998,2.7282093096749227,3.0106339880935513
2024-08-30,2.8514423662897044,3.662891557191846,2.588739277498716,2.763234540828116,3.0428266088629554
2024-09-30,2.911607800218417,3.7644981862265423,2.6538385544177903,2.807041291838434,3.101407862966621
2024-10-31,2.8918088671769318,3.7547966728159463,2.6347310113085807,2.8060369303373007,3.0956395273018105
2024-11-29,3.088741051031681,4.0307707552979055,2.8231259823965495,3.0651281184326793,3.3131601055317805
2024-12-31,2.9936078266599053,3.7624324397469553,2.626021811625114,2.853396969344016,3.0995827071747453
